survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
feb_size,height_model_1,fixed,NA,(Intercept),1.5898477087029952,0.10870017017066881,14.625990982413319,18.560395835349645,1.2310199732240106e-11
feb_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.15533771999349522,NA,NA,NA,NA
feb_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.4515067843598791,NA,NA,NA,NA
feb_size,height_model_1,ran_pars,Residual,sd__Observation,0.35643353497116975,NA,NA,NA,NA
feb_size,height_model_2,fixed,NA,(Intercept),2.1870986294908836,0.14614549477306932,14.965214171582572,13.748553767138654,6.719137324189453e-10
feb_size,height_model_2,fixed,NA,elev_m,-3.8766889402850767e-4,8.364871093172115e-5,-4.6344873663976145,15.705375385719403,2.886334175334946e-4
feb_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.1547736603217589,NA,NA,NA,NA
feb_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.2878545499758463,NA,NA,NA,NA
feb_size,height_model_2,ran_pars,Residual,sd__Observation,0.3571402967158789,NA,NA,NA,NA
feb_size,leaf_model_1,fixed,NA,(Intercept),2.6766676273517227,0.18584261719435002,14.402873074869172,19.523735874811486,7.387005206003507e-12
feb_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
feb_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.7124767019483337,NA,NA,NA,NA
feb_size,leaf_model_1,ran_pars,Residual,sd__Observation,1.2579583392867604,NA,NA,NA,NA
feb_size,leaf_model_2,fixed,NA,(Intercept),3.7710167414731384,0.21858595448615328,17.25187123911029,13.79986285359263,9.85799117892323e-11
feb_size,leaf_model_2,fixed,NA,elev_m,-7.41146078843849e-4,1.3536892038771973e-4,-5.475009158092418,18.84612815665767,2.8626277106215558e-5
feb_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
feb_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.3728423392012532,NA,NA,NA,NA
feb_size,leaf_model_2,ran_pars,Residual,sd__Observation,1.25592596103884,NA,NA,NA,NA
