survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
feb_size,height_model_1,fixed,NA,(Intercept),1.584964630615485,0.11355586759914117,13.95757580938488,17.278064734269897,7.677645617011415e-11
feb_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.15593325042870285,NA,NA,NA,NA
feb_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.4623874856892064,NA,NA,NA,NA
feb_size,height_model_1,ran_pars,Residual,sd__Observation,0.3566391689000835,NA,NA,NA,NA
feb_size,height_model_2,fixed,NA,(Intercept),2.2281625842394726,0.14167409608218087,15.727381686959786,13.610300405758641,4.05629835518363e-10
feb_size,height_model_2,fixed,NA,elev_m,-4.304361509977791e-4,8.381131215731325e-5,-5.135776304156334,15.09997970950366,1.1936063562185795e-4
feb_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.15502982340239413,NA,NA,NA,NA
feb_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.2735373790385162,NA,NA,NA,NA
feb_size,height_model_2,ran_pars,Residual,sd__Observation,0.3570958653053251,NA,NA,NA,NA
feb_size,leaf_model_1,fixed,NA,(Intercept),2.6945832650450994,0.18971525540812753,14.203303046180132,18.344618054124602,2.4193276262904278e-11
feb_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
feb_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.7184332136323731,NA,NA,NA,NA
feb_size,leaf_model_1,ran_pars,Residual,sd__Observation,1.2602148004990057,NA,NA,NA,NA
feb_size,leaf_model_2,fixed,NA,(Intercept),3.780331666257153,0.22158372981787675,17.060511028333483,13.256765653343049,2.0913362303507402e-10
feb_size,leaf_model_2,fixed,NA,elev_m,-7.521041854909093e-4,1.3939817297210254e-4,-5.395366161946945,17.396170288773238,4.467568152990186e-5
feb_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
feb_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.3760613801649011,NA,NA,NA,NA
feb_size,leaf_model_2,ran_pars,Residual,sd__Observation,1.2586172457017222,NA,NA,NA,NA
