survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
jan_size,height_model_1,fixed,NA,(Intercept),1.5689491154736777,0.08722657290829958,17.987054439512352,20.19940619357362,6.672354659210482e-14
jan_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.12922807452487708,NA,NA,NA,NA
jan_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.3857556339944709,NA,NA,NA,NA
jan_size,height_model_1,ran_pars,Residual,sd__Observation,0.3238049655351814,NA,NA,NA,NA
jan_size,height_model_2,fixed,NA,(Intercept),2.1373058000487157,0.11815758653420119,18.08860406462402,16.6380954310148,2.253480155767807e-12
jan_size,height_model_2,fixed,NA,elev_m,-3.4868292780087037e-4,6.477687109885257e-5,-5.382830659862588,17.895595496295034,4.166222706650024e-5
jan_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.1288239915601538,NA,NA,NA,NA
jan_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.23583317636965306,NA,NA,NA,NA
jan_size,height_model_2,ran_pars,Residual,sd__Observation,0.32397579439152324,NA,NA,NA,NA
jan_size,leaf_model_1,fixed,NA,(Intercept),2.294693909195867,0.11559374696768245,19.851367131800085,19.855211182991642,1.452654163729021e-14
jan_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.14718758354214156,NA,NA,NA,NA
jan_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.4913559376243375,NA,NA,NA,NA
jan_size,leaf_model_1,ran_pars,Residual,sd__Observation,0.7266354272634359,NA,NA,NA,NA
jan_size,leaf_model_2,fixed,NA,(Intercept),3.094627116139213,0.12994963392148873,23.8140502805024,15.067699683497013,2.2618176618770598e-13
jan_size,leaf_model_2,fixed,NA,elev_m,-4.94695639475898e-4,7.440810253970541e-5,-6.648410893315282,18.605678254232636,2.5929808772496913e-6
jan_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.14521552810995866,NA,NA,NA,NA
jan_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.23136708104581516,NA,NA,NA,NA
jan_size,leaf_model_2,ran_pars,Residual,sd__Observation,0.7264444661977629,NA,NA,NA,NA
