block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,bud.date,death.date,SurvtoRep_Y1
D1,3,A,WL2_4_11,WL2,4,11,High,2020.115818,38.8263,-120.25242,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,136970.70632835763,-2004.115818,NA,2023-04-24,0
D1,3,B,CP2_10_4,CP2,10,4,High,2244.132886,38.66169,-120.13065,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,144473.26494042546,-2228.132886,NA,2023-01-27,0
D1,4,A,YO11_4_10,YO11,4,10,High,2872.295032,37.93844,-119.23157,0.5356392895122849,0.555868657222044,0.5788534126485474,0.5830731335805268,232678.8656564738,-2856.295032,NA,2023-01-12,0
D1,4,B,CC_5_12,CC,5,12,Low,313,39.58597,-121.43311,0.1809452818790792,0.2794449917448481,0.2741580240096135,0.2568375034917601,121108.5985814656,-297,NA,2023-02-10,0
D1,5,A,FR_3_6,FR,3,6,Mid,787,40.01362,-121.18498,0.2391514394596413,0.2555857531388237,0.34940191931493975,0.3810693290179083,172742.68874491952,-771,NA,2023-02-24,0
D1,5,B,BH_5_24,BH,5,24,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,NA,2023-03-03,0
D1,6,A,IH_6_12,IH,6,12,Low,454.1298385,39.09332,-120.92114,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,97396.347224609,-438.1298385,NA,2023-03-03,0
D1,6,B,CC_3_10,CC,3,10,Low,313,39.58597,-121.43311,0.1809452818790792,0.2794449917448481,0.2741580240096135,0.2568375034917601,121108.5985814656,-297,NA,2023-03-03,0
D1,7,A,WL2_1_9,WL2,1,9,High,2020.115818,38.8263,-120.25242,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,136970.70632835763,-2004.115818,NA,2023-02-17,0
D1,7,B,CP2_8_4,CP2,8,4,High,2244.132886,38.66169,-120.13065,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,144473.26494042546,-2228.132886,NA,2023-02-03,0
D1,8,A,LV3_7_12,LV3,7,12,High,2353.550747,40.47917,-121.52311,0.434534895185204,0.5749352750674079,0.7954912954208724,0.7910060640410802,217848.59856883093,-2337.550747,NA,2023-02-10,0
D1,8,B,BH_6_7,BH,6,7,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,NA,2023-03-17,0
D1,9,A,SC_4_8,SC,4,8,Low,421.5178299,38.41167,-120.73583000000001,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,92249.6541866876,-405.5178299,NA,2023-03-17,0
D1,9,B,LVTR1_2_5,LVTR1,2,5,High,2741.38982,40.47917,-121.5032,0.42990697927776705,0.5742048603814814,0.8012927696235348,0.8014085086449031,218030.40265190482,-2725.38982,NA,2023-02-03,0
D1,10,A,SQ3_4_4,SQ3,4,4,High,2373.170732,36.72109,-118.84933,0.3721241723098737,0.3789304000925028,0.5146283017384257,0.5639141526227397,327931.23361382366,-2357.170732,NA,2023-03-03,0
D1,10,B,TM2_2_4,TM2,2,4,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,NA,2023-04-10,0
D1,11,A,WL1_4_10,WL1,4,10,Mid,1613.837245,38.78608,-120.2143,0.147453418352489,0.18367479795813796,0.4708241657573696,0.4585796318884349,139250.8770804623,-1597.837245,NA,2023-02-17,0
D1,11,B,BH_7_4,BH,7,4,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,-495.4294422,NA,2023-03-03,0
D1,12,A,CC_7_4,CC,7,4,Low,313,39.58597,-121.43311,0.1809452818790792,0.2794449917448481,0.2741580240096135,0.2568375034917601,121108.5985814656,-297,NA,2023-03-31,0
D1,12,B,TM2_5_9,TM2,5,9,Low,379.1526973,39.59255,-121.55072,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,119699.84840825829,-363.1526973,NA,2023-04-03,0
D1,13,A,CP2_5_8,CP2,5,8,High,2244.132886,38.66169,-120.13065,0.33632679367690843,0.33111720010767143,0.6006224071334514,0.6028634329364414,144473.26494042546,-2228.132886,NA,2023-02-10,0
D1,13,B,WL1_1_3,WL1,1,3,Mid,1613.837245,38.78608,-120.2143,0.147453418352489,0.18367479795813796,0.4708241657573696,0.4585796318884349,139250.8770804623,-1597.837245,NA,2023-03-17,0
D1,14,A,WL1_3_6,WL1,3,6,Mid,1613.837245,38.78608,-120.2143,0.147453418352489,0.18367479795813796,0.4708241657573696,0.4585796318884349,139250.8770804623,-1597.837245,NA,2023-03-03,0
D1,14,B,YO7_4_7,YO7,4,7,High,2469.978665,37.80903,-119.56605,0.39806151128351625,0.39458929857912795,0.5787871938125694,0.5897844310773136,210062.73629653853,-2453.978665,NA,2023-04-10,0
D1,15,A,IH_4_18,IH,4,18,Low,454.1298385,39.09332,-120.92114,0.17546072107880004,0.19449052891511348,0.2858453001546184,0.2930394196667525,97396.347224609,-438.1298385,NA,2023-03-03,0
